DIP:879E	DIP:807N		SWP:P38768	PIR:S46745	GI:626604	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:880E	DIP:806N		SWP:P38769	PIR:S46740	GI:626605	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:881E	DIP:841N		SWP:P40438	PIR:S50354	GI:1077766	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:882E	DIP:965N		SWP:P53952	PIR:S62150	GI:2131878	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:883E	DIP:995N		SWP:Q08491	PIR:S66959	GI:6324650	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:884E	DIP:1103N		SWP:P18900	PIR:XUBYTP	GI:66630	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:885E	DIP:656N		SWP:P22147	PIR:S13743	GI:83291	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:886E	DIP:776N		SWP:P38999	PIR:S41937	GI:6324378	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:887E	DIP:803N		SWP:P35198	PIR:S46668	GI:626750	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:888E	DIP:931N		SWP:P48240	PIR:S58362	GI:1363809	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:889E	DIP:969N		SWP:P53550	PIR:S63059	GI:2131892	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:890E	DIP:848N		SWP:P40070	PIR:S50615	GI:1077696	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:891E	DIP:976N		SWP:P53742	PIR:S63384	GI:2131978	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:892E	DIP:655N		SWP:P24384	PIR:S13643	GI:83433	DIP:991N			PIR:S64953	GI:2131783
DIP:893E	DIP:1032N		SWP:P09547	PIR:TNBYR6	GI:73244	DIP:991N			PIR:S64953	GI:2131783
DIP:894E	DIP:917N		SWP:P35169	PIR:S57085	GI:1084626	DIP:991N			PIR:S64953	GI:2131783
DIP:895E	DIP:915N		SWP:P27351	PIR:S57020	GI:1077073	DIP:991N			PIR:S64953	GI:2131783
DIP:896E	DIP:1004N			PIR:S67704	GI:2131348	DIP:991N			PIR:S64953	GI:2131783
DIP:897E	DIP:957N			PIR:S61052	GI:2131350	DIP:991N			PIR:S64953	GI:2131783
DIP:898E	DIP:820N		SWP:P40467	PIR:S48404	GI:626324	DIP:991N			PIR:S64953	GI:2131783
DIP:899E	DIP:874N		SWP:Q04746	PIR:S52825	GI:1077994	DIP:991N			PIR:S64953	GI:2131783
DIP:900E	DIP:812N		SWP:P39682	PIR:S47920	GI:630312	DIP:991N			PIR:S64953	GI:2131783
DIP:901E	DIP:705N		SWP:P32909	PIR:S27458	GI:283268	DIP:991N			PIR:S64953	GI:2131783
DIP:902E	DIP:961N			PIR:S61962	GI:2132981	DIP:991N			PIR:S64953	GI:2131783
DIP:903E	DIP:705N		SWP:P32909	PIR:S27458	GI:283268	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:904E	DIP:961N			PIR:S61962	GI:2132981	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:905E	DIP:991N			PIR:S64953	GI:2131783	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:906E	DIP:812N		SWP:P39682	PIR:S47920	GI:630312	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:907E	DIP:665N		SWP:P27705	PIR:S17248	GI:101546	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:908E	DIP:1032N		SWP:P09547	PIR:TNBYR6	GI:73244	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:909E	DIP:863N		SWP:Q06488	PIR:S51465	GI:12230583	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:910E	DIP:69N		SWP:P21560	PIR:A34290	GI:101235	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:911E	DIP:902N		SWP:P46958	PIR:S55167	GI:1078045	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:912E	DIP:678N		SWP:P32843	PIR:S20462	GI:83512	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:913E	DIP:985N		SWP:P39935	PIR:S64473	GI:6321601	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:914E	DIP:330N		SWP:P39936	PIR:B48086	GI:539297	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:915E	DIP:798N		SWP:P38267	PIR:S45981	GI:626222	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:916E	DIP:867N			PIR:S51858	GI:1077529	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:917E	DIP:831N			PIR:S49777	GI:1077187	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:918E	DIP:1009N		SWP:Q04149	PIR:S69670	GI:6320594	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:919E	DIP:1011N			PIR:S69691	GI:2131472	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:920E	DIP:849N		SWP:P40071	PIR:S50616	GI:1077697	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:921E	DIP:756N		SWP:P36056	PIR:S37795	GI:481114	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:922E	DIP:988N			PIR:S64756	GI:2132646	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:923E	DIP:893N		SWP:Q04477	PIR:S54579	GI:1084939	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:924E	DIP:967N		SWP:P53971	PIR:S62935	GI:2131866	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:925E	DIP:976N		SWP:P53742	PIR:S63384	GI:2131978	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:926E	DIP:976N		SWP:P53742	PIR:S63384	GI:2131978	DIP:689N		SWP:P32524	PIR:S23553	GI:280467
DIP:927E	DIP:958N		SWP:Q12471	PIR:S61066	GI:2131162	DIP:689N		SWP:P32524	PIR:S23553	GI:280467
DIP:928E	DIP:830N		SWP:P11075	PIR:S49764	GI:2133128	DIP:689N		SWP:P32524	PIR:S23553	GI:280467
DIP:929E	DIP:1018N		SWP:P25648	PIR:S74293	GI:2146842	DIP:689N		SWP:P32524	PIR:S23553	GI:280467
